"DHIScode","MFL Code","name","is_surge","WardDHISCode","wardname","SubCountyDHISCode","subcounty","CountyDHISCode","County","Partner"
"km06lXUQMHh","12486","Matinyani Dispensary ","","fIEkqCnDeKD","Matinyani Ward","cmWAJB5kCDW","Kitui West","j8o6iO4Njsi","Kitui","CHS - Naishi"
"RIgueT0ZHXr","12509","Mbusyani Dispensary ","","ZkMkC815uDw","Kisasi Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"qv8x924vigh","12518","Miambani Catholic","","iu8wSlOZmfl","Miambani Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"ZSphtl0DYFq","12519","Miambani Health Centre ","","iu8wSlOZmfl","Miambani Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","CHS - Naishi"
"x8kNXLmgEDu","12521","Mibitini Health Centre ","","MLjJaYTdwrs","Mbitini Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","CHS - Naishi"
"vbMUZbn9So8","12541","Mosa Dispensary ","","ZkMkC815uDw","Kisasi Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"dLQjsqOgttT","12566","Mulango (ACK) Dispensary","","KBHoROCFohc","Mulango Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","CHAK-CDC HIV-AIDS Program"
"IrHugYBeFOt","12568","Mulundi Dispensary ","","XCMLultdtNW","Kyangwithya east Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"xWpiITvlGmC","12569","Mulutu Mission Dispensary","","ENDuWpU74vp","Kyangwithya west Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","CHAK-CDC HIV-AIDS Program"
"ckx2yAkfioI","12577","Mundu Ta Mundu Clinic","","qWZAzrzTN2v","Mutitu/kaliku Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","No Partner"
"dzPpGUxkGxT","12583","Museve Dispensary ","","XCMLultdtNW","Kyangwithya east Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"Ve2zZoZ9dvj","12587","Muthale Mission Hospital","1","IgBhlSMshmk","Mutongoni Ward","cmWAJB5kCDW","Kitui West","j8o6iO4Njsi","Kitui","Afya Kamilisha"
"VoW67kdzIju","12599","Mutito Dispensary","","qWZAzrzTN2v","Mutitu/kaliku Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","CHAK-CDC HIV-AIDS Program"
"DwPhw6gtPgG","12601","Mutitu Sub-District Hospital","","qWZAzrzTN2v","Mutitu/kaliku Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","CHS - Naishi"
"WZ2xl9XTvw1","12607","Mutukya Dispensary ","","iu8wSlOZmfl","Miambani Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"OOt6h1b6OuV","12608","Mutulu (AIC) Dispensary","","IgBhlSMshmk","Mutongoni Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"a9krJZ0bHwi","12609","Mutune Dispensary","","XCMLultdtNW","Kyangwithya east Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"ZewCoggKllt","12628","Mwitika Dispensary","","fgZAe9zffHF","Zombe/mwitika Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","CHS - Naishi"
"sUhGF9KD3sc","12638","Ndiuni Dispensary","","rWDqxS3mGCY","Kwamutonga/kithumula Ward","cmWAJB5kCDW","Kitui West","j8o6iO4Njsi","Kitui","CHS - Naishi"
"PiKN9tXsyRs","12639","Nduva Na Mwene Medical Clinic","","qWZAzrzTN2v","Mutitu/kaliku Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"B8CJuWmgPgE","12641","Neema Nursing Home","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","CHS - Naishi"
"gYXWjsiBbyA","12646","Ngangani Dispensary ","","MLjJaYTdwrs","Mbitini Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"K9yzuUz3ddN","12652","Ngiluni Dispensary (Kitui)","","ZkMkC815uDw","Kisasi Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"wJAJzv3eUFT","16858","Nguuni Dispensary","","ZkMkC815uDw","Kisasi Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"XyUyZFd66aA","12677","Nthongoni Dispensary (Kitui)","","LHmp6sPE2w7","Kwavonza/yatta Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","CHS - Naishi"
"lKfPapE2csw","12695","Nzunguni Dispensary ","","XCMLultdtNW","Kyangwithya east Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"BS9tEi4mMuW","12707","Premier Medical Clinic (Kitui)","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"nSJ6eRd4rJt","12735","Siloam Mediacl Clinic","","Ekb0OY8S4Jm","Nzambani Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","No Partner"
"hLkFV8Z02ys","12780","Syongila (ACK) Dispensary","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"G5XLaGUFGHI","12781","Syongila Dispensary ","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"r5nl0fmu65n","12803","Tiva Dispensary ","","ENDuWpU74vp","Kyangwithya west Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","CHS - Naishi"
"ZAXB3hNJvO5","12804","Township Dispensary","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"gCfHf4tRoe8","12806","Tulia Dispensary ","","IgBhlSMshmk","Mutongoni Ward","cmWAJB5kCDW","Kitui West","j8o6iO4Njsi","Kitui","CHS - Naishi"
"feCWzcJNx5S","12810","Tumaini Medical Clinic (Kitui)","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"CtVVIjBzLkX","12812","Tungutu Dispensary ","","ENDuWpU74vp","Kyangwithya west Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"v3Y5lBzmVt6","12823","Ungatu Dispensary","","ZkMkC815uDw","Kisasi Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","No Partner"
"fPbVD7Wu8M7","12826","Upendo Medical Clinic (Kitui)","","T9ZjyItHbW9","Kauwi Ward","cmWAJB5kCDW","Kitui West","j8o6iO4Njsi","Kitui","No Partner"
"Hijyln0ssgD","12842","Wanzoa Dispensary","","XCMLultdtNW","Kyangwithya east Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"qcbEOS2KIsH","12846","Wii Dispensary ","","KBHoROCFohc","Mulango Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"OQs41Kbcmab","12851","Yakalia Dispensary ","","KBHoROCFohc","Mulango Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"HIxmAiPA051","12852","Yanzuu Dispensary ","","Ekb0OY8S4Jm","Nzambani Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","CHS - Naishi"
"d6uWTkItX35","12853","Yatta Health Centre ","","LHmp6sPE2w7","Kwavonza/yatta Ward","vbauk0RRq9N","Kitui Rural","j8o6iO4Njsi","Kitui","CHS - Naishi"
"tkPOV1s9uh0","12859","Zion Medical Clinic","","xM6qhREfp7o","Township Ward","MWqQbxWqACn","Kitui Central","j8o6iO4Njsi","Kitui","No Partner"
"qsSIimN71Bx","12860","Zombe (AIC) Dispensary","","fgZAe9zffHF","Zombe/mwitika Ward","d0Gu8FrRM0Y","Kitui East","j8o6iO4Njsi","Kitui","CHAK-CDC HIV-AIDS Program"
"YPaUlzzDkob","12128","Kairungu Dispensary (Kyuso)","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"C1v8nTbvYAj","16862","Kalatine Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"LnTpVBjb0h7","12165","Kamusiliu Dispensary","","zR0sWpigMWE","Ngomeni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"NCEgLpQqqXx","12169","Kamuwongo Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"glV510sZyh7","16860","Kandwia Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"R43KcJMZGP3","12178","Kaningo Health Center","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"hiLD4yCxIAC","12213","Katakani Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHAK-CDC HIV-AIDS Program"
"sTjTaryyIpU","12242","Katse Health Centre","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"h8nZvlCDtOb","12243","Katse Medical Clinic","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"NGkiCkjGw4B","12316","Kimangao Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"I36riCC6xbL","12383","Konyu Dispensary","","bBYJtOmYctd","Tharaka Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"YZuzvi5zGPy","12420","Kyuso District Hospital","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"sfbAvJY0SZo","12479","Masyungwa Dispensary","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"mPwh9zI4y7M","12480","Mataka Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"w84sLzhuZUy","12531","Mitamisyi Dispensary","","zR0sWpigMWE","Ngomeni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"SmwH1kSTv25","12539","Mivukoni Health Center","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"NvlSavOqigz","16863","Mukonga Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"lDCWT4HQUZ3","12567","Mulangoni Dispensary","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"l5obasL82Zz","12576","Mumoni Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"owRJd2gve7h","16861","Ngaie Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"sk9ycClAxDu","12654","Ngomeni Health Centre","","zR0sWpigMWE","Ngomeni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"VDFiF0pRZdM","16864","Ngongoni Dispensary (Kyuso)","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"sgbqctQT842","12661","Nguuku Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"D1XVFGBSKSq","12662","Nguungani Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"s9likQBEhHv","12789","Tei Wa Yesu Health Centre","1","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","Afya Kamilisha"
"tLVjdEE6IX2","12795","Tharaka District Hospital","1","IcAegRcGuV6","Marimanti Ward","Yz1V5Cx8CO2","Tharaka South","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"fgSdATEHnMI","12800","Tii Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"fBY4PYGFVBq","12805","Tseikuru Sub-District Hospital","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"Y4x3n9SX1Lz","12818","Twimyua Dispensary","","WJLrTzwzXNb","Kyuso Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"WPFI84EO5Ew","12819","Tyaa Kamuthale Dispensary","","uyBigxC7fHZ","Mumoni Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","CHS - Naishi"
"vzvZUbzMSE3","12832","Usueni Dispensary","","RJxeNbjGm71","Tseikuru Ward","KXM9VnhuLfP","Mwingi North","j8o6iO4Njsi","Kitui","No Partner"
"hCYugmQzcUY","12001","El-Molo Bay Dispensary","","xjbfzSmFPMk","Loiyangalani Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"rtH6GDmikh7","12030","Gatab Health Centre","","xjbfzSmFPMk","Loiyangalani Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"Z0cuLhrmOmL","12086","Illaut Dispensary","","si4GkeAGSXo","Korr/ngurunit Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"zMZSlbwQ497","16216","Kamboe Dispensary","","ooyM9K6FAXE","LOGLOGO Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"o6V7c3jZW7n","12199","Kargi Dispensary ","","RaSqiM3lgfo","Kargi/south horr Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"rKEeLQ5W9fl","12385","Korr Dispensary","","si4GkeAGSXo","Korr/ngurunit Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"AHuZhKBDb4j","16215","Laisamis Hospital","","WWr7jojWGHJ","Laisamis Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"Mrbd6SVKio5","16213","logologo Dispensary","","ooyM9K6FAXE","LOGLOGO Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"fezXPanGuWC","12432","Loiyangalani Dispensary","","xjbfzSmFPMk","Loiyangalani Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"FTBBIxhF5MO","12433","Loiyangalani Health Centre","","xjbfzSmFPMk","Loiyangalani Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"Vd1VV5EzU6F","16214","Lontolio Dispensary","","WWr7jojWGHJ","Laisamis Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"SShWRHjs0K1","16217","Merille Dispensary","","WWr7jojWGHJ","Laisamis Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"A2YsYMYq9O2","12660","Ngurunit Dispensary","","si4GkeAGSXo","Korr/ngurunit Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","Aphia Plus Imarisha"
"T0F0oz79hgJ","12699","Ol-Torot Dispensary","","xjbfzSmFPMk","Loiyangalani Ward","eZpy65ooW0m","Laisamis","Eey8fT4Im3y","Marsabit","No Partner"
"wZUrNTrCEWz","11942","Baragu Dispensary","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"XgnBT8Pug4r","11970","Chogoria (PCEA) Hospital","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","CHAK-CDC HIV-AIDS Program"
"H6GuF8E08rO","12037","Gianchuku Dispensary","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"RH8vF3k8STY","12079","Ikumbo Dispensary","","AIL7D1wnOIl","Ganga Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"HUcXylpRQzR","12092","Iriga Dispensary","","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"vjX2moFDHOH","12120","Kaare Dispensary","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"sCuA2Pv1mxV","12148","Kalewa Dispensary","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"NSX8YE44iLl","16462","Kariakomo Dispensary","","AIL7D1wnOIl","Ganga Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"hX7sIaT7fJS","12201","Karimba Dispensary","","iRQ3mxm14gi","Mitheru Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"lIb3B26lHD1","12270","Kiairugu Dispensary","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"ijkWLvIGDoy","12272","Kiamuchairu Dispensary","1","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"GaO6Sb8DwmG","12295","Kieni Dispensary (Maara)","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"edCkgw4bfVq","12301","Kiini Dispensary","","iRQ3mxm14gi","Mitheru Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"RCKhWGu0cT2","12331","Kiriani Dispensary","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"nI3CRx9nmMb","12338","Kiroo Clinic","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"nqq2iD62e4b","12339","Kirumi Dispensary","","AIL7D1wnOIl","Ganga Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"TT3kyK0Iam5","12444","Magundu Dispensary","","iRQ3mxm14gi","Mitheru Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"fXf88nqZeKn","12445","Magutuni District Hospital","1","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"KSAZU4gswwQ","16645","Makengi Dispensary (Maara)","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"sijQjq4rhfT","12528","Minugu Dispensary","","iRQ3mxm14gi","Mitheru Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"cV6VsQJFA5A","12561","Mukui Dispensary","","AIL7D1wnOIl","Ganga Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"cTrG5XdrvPx","12570","Mumbuni Dispensary (Maara)","","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"pkYWO2u8qoE","12579","Murambani Dispensary","","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"W0NZ6aKcO4K","12588","Muthambi Dispensary","","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"iLfGXM4vg6l","12589","Muthambi Health Centre","1","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"EFWuy00kRUY","12597","Mutindwa Dispensary","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"u6HT02YIKYz","16646","Mwikia Clinic","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"bpy7AO83XzX","12649","Ngeru Dispensary","","AIL7D1wnOIl","Ganga Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"Ps9kWPr86pD","12659","Nguruki-Iruma Dispensary","","VOpqnQgC8om","Mwimbi Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","Afya Kamilisha"
"N1llXngITyV","12683","Nyagani Dispensary","","BkpZUfBGM9x","Muthambi Ward","gLD3Q9fHpvy","Muthambi","T4urHM47nlm","Tharaka Nithi","No Partner"
"GT86jRN1PNM","16647","Ponya Clinic","","yQ9Js5EZ61q","Chogoria Ward","wQ8XjZ7zVwL","Mwimbi","T4urHM47nlm","Tharaka Nithi","No Partner"
"QtQRfq2Vjsz","11921","Afya Njema Clinic","","CYAMnUYLITU","Athi river Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"cjRk88NSyY9","11922","Air Port Medical Clinic","","TcWlRA6LpLB","Syokimau/mulolongo Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"P6qrzhoBJrH","11931","APDK Dispensary","","bSXsHJ4bnCw","Machakos Central Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","CHS - Naishi"
"yjdx3bVwjJP","11932","Approved Dispensary (Machakos)","","CJ0xDJy3ZZI","Muvuti/Kiima-Kimwe Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","CHS - Naishi"
"iSItENTqnqC","11935","Athi River Community Hospital","","TcWlRA6LpLB","Syokimau/mulolongo Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"bHv5fWNPV64","11936","Athi River Health Centre","","CYAMnUYLITU","Athi river Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","CHS - Naishi"
"rtOVeE98u6G","11937","Athi River Medical Services","","CYAMnUYLITU","Athi river Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"dzY2ptkmDAC","11955","Bishop Kioko Catholic Hospital","","bSXsHJ4bnCw","Machakos Central Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","CHAK-CDC HIV-AIDS Program"
"u3erfQuA1E5","16249","Chriswin Medical Clinic","","bSXsHJ4bnCw","Machakos Central Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","No Partner"
"Sd2vIXgZpFt","11978","Courtesy Community Based Health Services","","TcWlRA6LpLB","Syokimau/mulolongo Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"aNrWrIybSR3","11993","East Way Medical Clinic","","COrVDPRzUZp","Kinanie Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"Ozy7OmYUgoL","12017","Family Medical Clinic (Machakos)","","CYAMnUYLITU","Athi river Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"kY6qpwJgtAj","12048","GK Prison Dispensary (Machakos)","","bSXsHJ4bnCw","Machakos Central Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","Healthstrat TACT programme"
"tCnrpYtT7DP","12055","Hardship Medical Clinic","","CYAMnUYLITU","Athi river Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","No Partner"
"yg5ppxhOxzR","12088","Imani Medical Clinic (Machakos)","","m6H14WsORB0","Mutituni Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","No Partner"
"N6QKL5g4WvL","12096","Ithaeni Dispensary","","uRN4WDLAPSP","Lower kaewa/kaani Ward","iCey76HYgLP","Kathiani","yhCUgGcCcOo","Machakos","CHS - Naishi"
"crSbiV0rS0m","12118","Kaani Dispensary","","uRN4WDLAPSP","Lower kaewa/kaani Ward","iCey76HYgLP","Kathiani","yhCUgGcCcOo","Machakos","No Partner"
"zbzjrf1Dgrk","12127","Kaiani(ABC) Dispensary","","vviGMt93opf","Kathiani central Ward","iCey76HYgLP","Kathiani","yhCUgGcCcOo","Machakos","No Partner"
"e0eHfNQ5SwY","12144","Kalama Dispensary","","X0dFLUEZDlw","Kalama Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","CHS - Naishi"
"sWI13TlwMZ9","12157","Kalunga Dispensary","","nDNeAIZ7KRc","Upper kaewa/iveti Ward","iCey76HYgLP","Kathiani","yhCUgGcCcOo","Machakos","No Partner"
"JlDeIU6h4cv","12167","Kamuthanga Dispensary","","m6H14WsORB0","Mutituni Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","CHS - Naishi"
"Wxy2PBEmdsG","12206","Kaseve Medical Clinic","","CJ0xDJy3ZZI","Muvuti/Kiima-Kimwe Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","No Partner"
"hORllbg4SRu","12217","Katani Dispensary","","ZlcAxf7QN8c","Muthwani Ward","BxfsSc6Svrc","Athi River","yhCUgGcCcOo","Machakos","CHS - Naishi"
"p6OOqwGbiA0","12230","Kathiani Hospital","","vviGMt93opf","Kathiani central Ward","iCey76HYgLP","Kathiani","yhCUgGcCcOo","Machakos","CHS - Naishi"
"TubLUacpc3s","16251","Kathome Medical Clinic","","aQ530J1wOWr","Mua Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","No Partner"
"tFqdv8A7N7P","12247","Katumani Dispensary","","X0dFLUEZDlw","Kalama Ward","KXc4ez8OAFz","Machakos","yhCUgGcCcOo","Machakos","No Partner"
